Comment,Designator,Footprint,LCSC
D,"D26,D10,D11,D8,D25,D13,D12,D21,D23,D16,D4,D1,D18,D15,D28,D6,D9,D7,D17,D22,D24,D14,D5,D20,D19,D2,D27,D3",D_SOD-323,C2931613
B,"BOOT,RESET",SW_SPST_TL3342,C115351
27R,"R6,R7",R_0603_1608Metric,C25190
22pF,"C2,C1",C_0402_1005Metric,C1555
5.1k,"R4,R3",R_0402_1005Metric,C25905
1M,R_S,R_0402_1005Metric,C26083
100nF,"C10,C11,C12,C13,C14,C15,C16,C17,C6,C7,C8,C9",C_0402_1005Metric,C1525
RP2040,U1,RP2040-QFN-56,C2040
SRV05-4,U2,SOT-23-6-routable,C85364
10k,R5,R_0402_1005Metric,C25744
1k,"R1,R2",R_0402_1005Metric,C11702
USB_C,J1,Molex-216990_GCT-USB45xx_HRO-TYPE-C-31-M-13x,C223906
1uF,"C5,C3,C4",C_0402_1005Metric,C52923
500mA,F1,Fuse_1206_3216Metric,C70076
4.7n,C_S,C_0402_1005Metric,C1538
"VIK Keyboard Expansion",J3,~,C262661
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
XC6206,U3,SOT-23,C5446
